Cluster ID	Cluster name	Supercluster	Class auto-annotation	Neurotransmitter auto-annotation	Neuropeptide auto-annotation	Subtype auto-annotation	Transferred MTG Label	Top three regions	Top three dissections	Top Enriched Genes	Number of cells	DoubletFinder score	Total UMI	Fraction unspliced	Fraction mitochondrial	H19.30.002	H19.30.001	H18.30.002	H18.30.001	Fraction cells from top donor	Number of donors
63	Astro_63	Astrocyte	ASTRO		AGT proSAAS		Astro	Medulla: 38.6%, Spinal cord: 20.0%, Pons: 15.4%	Human SpC: 20.0%, Human MoAN: 19.7%, Human IO: 9.6%	LINC01094, CD44, GFAP, AC012405.1, APLNR, AL627316.1, ID3, AL096709.1, AC073941.1, AEBP1	11325	0.019045396	3729.929095	0.664885231	0.001805531	1731	4079	5513	2	0.486799117	4
64	Astro_64	Astrocyte	ASTRO		ADM AGT NAMPT NUCB SPX		Astro	Hypothalamus: 93.0%, Amygdala: 1.6%, Thalamus: 1.6%	Human MN: 92.5%, Human CEN: 1.2%, Human CA3R: 0.6%	AC112253.1, AC098656.1, NAA11, LINC01094, CD44, AL627316.1, AC012405.1, AC073941.1, AC072022.1, AC093535.1	1181	0.020759226	12870.84674	0.790287209	0.000196461	98	1024	59	0	0.867061812	3
65	Epen_65	Ependymal	EPEN		AGT NTS NUCB UBL proSAAS		N/A	Midbrain: 28.4%, Hippocampus: 12.5%, Pons: 12.5%	Human PnEN: 10.2%, Human PAG-DR: 9.1%, Human PAG: 9.1%	DTHD1, ADGB, AC093689.1, CFAP157, AC013470.2, LMNTD1, RASSF9, TTC29, AL672167.1, MAP3K19	88	0.067970087	10655.55682	0.727639194	0.006119648	15	14	59	0	0.670454545	3
66	Epen_66	Ependymal	CHRP EPEN		AGT NTS NUCB UBL proSAAS		N/A	Medulla: 83.1%, Pons: 16.0%, Midbrain: 0.4%	Human MoAN: 42.7%, Human MoSR: 22.2%, Human MoRF-MoEN: 18.2%	DTHD1, ADGB, RASSF9, AC020718.1, CFAP157, AC013470.2, ODF3B, FAM183A, C11orf88, AC093689.1	445	0.034611016	4724.469663	0.613781853	0.016055909	114	207	124	0	0.465168539	3
67	Epen_67	Ependymal	CHRP EPEN		AGT NAMPT NTS NUCB UBL proSAAS		N/A	Medulla: 52.7%, Spinal cord: 22.3%, Pons: 17.8%	Human SpC: 22.3%, Human MoRF-MoEN: 21.5%, Human MoAN: 18.7%	DTHD1, ADGB, RASSF9, CFAP157, AC013470.2, AC093689.1, AL672167.1, TTC29, LRRC77P, ODF3B	651	0.033601669	5496.528418	0.693626879	0.021273365	121	117	413	0	0.634408602	3
68	Epen_68	Ependymal	CHRP EPEN		AGT NTS NUCB UBL proSAAS		N/A	Medulla: 29.8%, Pons: 23.1%, Thalamus: 13.7%	Human MoRF-MoEN: 17.9%, Human PnEN: 12.2%, Human SEP: 11.5%	FAM183A, C11orf88, RASSF9, DTHD1, ODF3B, FOXJ1, CFAP157, ADGB, AC013470.2, CAPSL	459	0.048341478	6679.618736	0.51598976	0.020997325	179	112	168	0	0.389978214	3
69	Epen_69	Ependymal	EPEN		AGT NAMPT NTS NUCB UBL proSAAS		N/A	Hippocampus: 69.2%, Basal forebrain: 11.2%, Amygdala: 7.6%	Human CA1: 17.4%, Human CA1U-CA2U-CA3U: 16.7%, Human CA4C-DGC: 11.0%	DTHD1, CFAP157, RASSF9, ADGB, FAM183A, C11orf88, AC013470.2, AC020718.1, FOXJ1, AC093689.1	724	0.022703475	7073.150552	0.580179333	0.020167044	190	211	323	0	0.446132597	3
70	Epen_70	Ependymal	EPEN		AGT NTS NUCB proSAAS		N/A	Thalamus: 41.0%, Amygdala: 21.3%, Midbrain: 17.1%	Human MD: 22.3%, Human BNST: 21.0%, Human MD-Re: 7.1%	DTHD1, ADGB, AC020718.1, AL672167.1, AC013470.2, CFAP157, AC093689.1, CROCC2, RASSF9, TTC29	310	0.036063777	6642.470968	0.716551553	0.018316332	115	39	156	0	0.503225806	3
71	Epen_71	Ependymal	EPEN		AGT NAMPT NTS NUCB proSAAS		N/A	Basal forebrain: 41.0%, Hypothalamus: 26.7%, Thalamus: 14.5%	Human CaB: 20.4%, Human SEP: 17.0%, Human BNST: 12.2%	DTHD1, ADGB, AC013470.2, AL672167.1, CFAP157, AC093689.1, CROCC2, TTC29, RASSF9, LMNTD1	476	0.029262218	8127.455882	0.728039003	0.00788007	80	99	297	0	0.62394958	3
72	Epen_72	Ependymal	EPEN		AGT NUCB proSAAS		N/A	Hippocampus: 53.2%, Amygdala: 20.2%, Basal forebrain: 7.9%	Human CA1: 38.5%, Human Sub: 11.1%, Human BNST: 7.2%	DTHD1, ADGB, AC020718.1, CFAP157, AL672167.1, AC093689.1, AC013470.2, LMNTD1, TTC29, CROCC2	1027	0.019879627	6355.942551	0.754888215	0.012718224	112	84	831	0	0.809152872	3
73	Epen_73	Ependymal	EPEN		AGT NTS NUCB proSAAS		N/A	Hippocampus: 85.9%, Amygdala: 8.2%, Basal forebrain: 1.9%	Human CA1: 69.3%, Human BL: 5.4%, Human DGU-CA4Upy: 3.0%	DTHD1, ADGB, AC020718.1, CFAP157, AL672167.1, RASSF9, AC093689.1, AC019330.1, AC013470.2, CROCC2	907	0.007868671	5698.481808	0.740719121	0.023189001	86	35	786	0	0.866593164	3
74	Epen_74	Ependymal	CHRP EPEN		AGT NUCB proSAAS		N/A	Basal forebrain: 68.3%, Thalamus: 13.3%, Medulla: 7.3%	Human SEP: 67.8%, Human DGR-CA4Rpy: 6.0%, Human MD: 4.3%	DTHD1, ADGB, AC020718.1, AL672167.1, AC013470.2, CFAP157, AC093689.1, CROCC2, TTC29, RASSF9	795	0.021755453	6456.792453	0.718707	0.017902184	121	111	563	0	0.708176101	3
75	COP_75	Committed oligodendrocyte precursor	CHRP EPEN NEUR		CHGB IGF NAMPT NUCB NXPH SCG UBL proSAAS		N/A	Medulla: 38.6%, Basal forebrain: 32.9%, Thalamus: 15.7%	Human SEP: 32.9%, Human MoSR: 21.4%, Human Pul: 12.9%	TTR, FOLR1, SOD3, IGFBP7, FBLN1, C1QTNF5, FBP2, ECRG4, CLIC6, SLC39A12	70	0.135026968	14971.87143	0.574148041	0.047887992	23	18	29	0	0.414285714	3
76	Chrp_76	Choroid plexus	CHRP EPEN OLIGO		NAMPT NUCB UBL proSAAS		N/A	Basal forebrain: 55.4%, Medulla: 31.7%, Thalamus: 8.9%	Human SEP: 55.4%, Human MoSR: 23.8%, Human Pul: 7.9%	TTR, AC004052.1, CLIC6, AC016152.1, LINC00880, TRPV4, LMX1A, NWD1, C1QTNF5, ABCA4	101	0.108481848	11855.28713	0.710036719	0.027496556	31	11	58	1	0.574257426	4
77	Chrp_77	Choroid plexus	CHRP		NUCB UBL proSAAS		N/A	Basal forebrain: 49.7%, Medulla: 46.2%, Hippocampus: 3.0%	Human SEP: 49.7%, Human MoAN: 33.9%, Human MoSR: 11.8%	TTR, CLIC6, TRPV4, AC016152.1, AC004052.1, LINC00880, ABCA4, SLC39A12, AC104809.2, C1QTNF5	1659	0.025331499	9414.277878	0.71133735	0.015456701	195	624	840	0	0.506329114	3
78	Chrp_78	Choroid plexus	CHRP		NAMPT NUCB proSAAS		N/A	Basal forebrain: 92.5%, Medulla: 6.3%, Thalamus: 0.6%	Human SEP: 92.5%, Human MoAN: 4.9%, Human MoSR: 1.2%	AC004052.1, TRPV4, AC016152.1, LINC00880, CLIC6, NWD1, AP003500.1, LMX1A, ABCA4, SLC39A12	2653	0.029710548	18753.83641	0.825741263	0.006956236	36	159	2458	0	0.926498304	3
79	Chrp_79	Choroid plexus	CHRP		NAMPT NUCB proSAAS		N/A	Basal forebrain: 94.0%, Medulla: 5.0%, Hippocampus: 0.5%	Human SEP: 94.0%, Human MoAN: 2.9%, Human MoSR: 1.6%	AC004052.1, TRPV4, AC016152.1, LINC00880, CLIC6, ABCA4, SLC5A5, NWD1, AP003500.1, LMX1A	383	0.033097258	18217.65796	0.816799846	0.009338223	6	17	360	0	0.939947781	3
80	Chrp_80	Choroid plexus	CHRP		NAMPT NUCB proSAAS		N/A	Basal forebrain: 94.8%, Medulla: 4.5%, Hippocampus: 0.4%	Human SEP: 94.8%, Human MoAN: 3.0%, Human MoSR: 0.9%	AC016152.1, TRPV4, AC004052.1, CLIC6, SLC5A5, ABCA4, LINC00880, NWD1, AP003500.1, LMX1A	1347	0.032904603	20212.92056	0.819190708	0.005732283	13	57	1277	0	0.948032665	3
81	Chrp_81	Choroid plexus	CHRP		NUCB proSAAS		N/A	Basal forebrain: 73.7%, Medulla: 25.6%, Pons: 0.6%	Human SEP: 73.7%, Human MoAN: 20.9%, Human MoSR: 3.9%	AC004052.1, TRPV4, AC016152.1, SLC5A5, CLIC6, ABCA4, LINC00880, NWD1, LMX1A, RBM47	1375	0.031980837	14308.84291	0.791962731	0.010971348	53	301	1021	0	0.742545455	3
82	Chrp_82	Choroid plexus	CHRP		NAMPT NUCB proSAAS		N/A	Basal forebrain: 76.6%, Medulla: 22.2%, Pons: 1.2%	Human SEP: 76.6%, Human MoAN: 11.7%, Human MoSR: 10.5%	TRPV4, CLIC6, AC012078.2, LINC00113, LMX1A, SLC28A3, SLC5A5, FBP2, LINC00880, RBM47	171	0.029312468	11030.4269	0.75767242	0.019371127	18	20	133	0	0.777777778	3
83	DLNP_83	Deep-layer near-projecting	NEUR	VGLUT1	CBLN CCK CHGA CHGB CRH IGF NAMPT NUCB NXPH UBL UCN VGF proSAAS		N/A	Cerebral cortex: 92.0%, Basal forebrain: 3.2%, Hypothalamus: 1.9%	Human M1C: 22.3%, Human S1C: 5.3%, Human MTG: 4.6%	AC022535.1, AL359313.1, AC044893.1, ERG, AL353072.2, MYH4, AC005909.2, NPSR1-AS1, ABCC9, LPO	476	0.05682926	33104.16807	0.726103746	0.004979784	142	122	162	50	0.340336134	4
84	DLCT6b_84	Deep-layer corticothalamic and 6b	NEUR	VGLUT1 VGLUT2 VGLUT3	CCK CHGA CHGB GAL NAMPT NTS NUCB NXPH UBL UCN proSAAS		N/A	Hippocampus: 98.5%, Amygdala: 0.8%, Cerebral cortex: 0.7%	Human CA1U-CA2U-CA3U: 20.1%, Human CA2U-CA3U: 19.3%, Human CA1-2R: 13.5%	PIWIL1, NPSR1-AS1, SLC9C1, IFNG-AS1, LINC02218, LINC01479, CPZ, ABCA12, LPO, C3orf52	4474	0.026543623	42891.81694	0.735439177	0.002633864	1701	1584	1163	26	0.380196692	4
85	DLNP_85	Deep-layer near-projecting	NEUR	VGLUT1 VGLUT2 VGLUT3	CBLN CCK CHGA CHGB GRP NAMPT NUCB NXPH SCG UBL UCN proSAAS		N/A	Cerebral cortex: 47.1%, Basal forebrain: 37.0%, Hypothalamus: 10.9%	Human ACC: 32.3%, Human SEP: 25.9%, Human SI: 9.7%	AC005909.2, FER1L6-AS2, PRELP, AC093912.1, NPSR1-AS1, VWA2, LPIN3, ABCC9, CDCP1, MROH2A	514	0.062106748	28261.7607	0.738266543	0.007044694	218	144	137	15	0.424124514	4
86	DLNP_86	Deep-layer near-projecting	NEUR	VGLUT1 VGLUT2	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 97.0%, Basal forebrain: 1.8%, Hippocampus: 1.1%	Human M1C: 30.8%, Human S1C: 8.6%, Human Ig: 6.4%	IFNG-AS1, NPSR1-AS1, IL26, ROBO3, AC087863.2, LINC02444, SLC9C1, LINC02218, NPSR1, LINC01479	1508	0.01884794	19307.66313	0.684538113	0.004244442	406	393	453	256	0.300397878	4
87	DLNP_87	Deep-layer near-projecting	NEUR	VGLUT1 VGLUT2	CCK CHGA CHGB GRP NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 83.9%, Basal forebrain: 12.2%, Hypothalamus: 2.8%	Human ACC: 25.8%, Human A25: 14.5%, Human FI: 11.5%	IFNG-AS1, NPSR1-AS1, LINC02218, MROH2A, NPSR1, AC244502.1, SLC9C1, CDCP1, PIWIL1, ERG	1203	0.0244958	25492.15378	0.720039691	0.003940094	424	282	453	44	0.376558603	4
88	DLNP_88	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 92.2%, Basal forebrain: 4.8%, Amygdala: 1.9%	Human MTG: 15.3%, Human Idg: 10.9%, Human FI: 7.9%	IFNG-AS1, LINC02218, NPSR1-AS1, NPSR1, CD200R1L, AC244502.1, AC005909.2, IL26, CD36, CDCP1	1548	0.022580338	23881.69638	0.713540097	0.003798891	486	444	529	89	0.341731266	4
89	DLNP_89	Deep-layer near-projecting	NEUR	VGLUT1 VGLUT2	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 98.1%, Basal forebrain: 1.6%, Amygdala: 0.1%	Human M1C: 40.1%, Human FI: 8.0%, Human S1C: 7.7%	AC244502.1, NPSR1-AS1, IFNG-AS1, LINC02218, CD200R1L, CCDC80, LINC02042, CD36, AL161782.1, AC074139.1	1405	0.019471042	26813.44342	0.718378613	0.002705173	361	278	518	248	0.368683274	4
90	DLNP_90	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 95.7%, Basal forebrain: 3.4%, Hypothalamus: 0.6%	Human M1C: 21.6%, Human FI: 10.5%, Human A25: 9.5%	IFNG-AS1, AC244502.1, NPSR1-AS1, CCDC80, CD200R1L, ERG, LINC02218, PDLIM1, BARX2, AC093912.1	1804	0.015473145	22328.06929	0.713689071	0.003258708	512	494	636	162	0.352549889	4
91	DLNP_91	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 89.4%, Basal forebrain: 4.7%, Hippocampus: 3.3%	Human MTG: 16.0%, Human Idg: 7.9%, Human TF: 7.8%	CD200R1L, NPSR1-AS1, IFNG-AS1, LINC02042, CCDC80, ERG, BARX2, CD200R1L-AS1, TRIM22, PDLIM1	1523	0.021747917	22948.61523	0.720668009	0.004523012	422	488	530	83	0.347997374	4
92	DLNP_92	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB GRP NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 94.7%, Hippocampus: 2.5%, Basal forebrain: 2.2%	Human MTG: 12.1%, Human Ig: 8.6%, Human A1C: 6.9%	CD200R1L, ERG, IFNG-AS1, NPSR1-AS1, BARX2, LINC02042, AC009081.2, AC129807.1, CD200R1L-AS1, CCDC80	2119	0.022688027	22297.89712	0.717177897	0.004354605	587	718	724	90	0.341670599	4
93	DLNP_93	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 97.2%, Basal forebrain: 1.1%, Hypothalamus: 0.7%	Human M1C: 28.5%, Human A23: 15.2%, Human A29-A30: 9.3%	IFNG-AS1, NPSR1-AS1, ERG, CD200R1L, LINC02218, BARX2, CCDC80, IL26, LINC02042, ROBO3	2217	0.016801677	16276.04465	0.688293201	0.007714443	611	655	682	269	0.307622914	4
94	DLNP_94	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 94.1%, Hippocampus: 2.6%, Amygdala: 2.0%	Human MTG: 18.0%, Human TF: 6.6%, Human V2: 6.2%	IFNG-AS1, CD200R1L, LINC02218, NPSR1-AS1, LINC02042, CCDC80, IL26, BARX2, CD200R1L-AS1, ERG	2547	0.025201441	22041.81076	0.70489682	0.004503573	758	862	844	83	0.338437377	4
95	DLNP_95	Deep-layer near-projecting	NEUR	VGLUT1	CCK CHGA CHGB GRP NAMPT NUCB NXPH UBL UCN VGF proSAAS		L5/6 NP	Cerebral cortex: 89.0%, Basal forebrain: 7.0%, Hypothalamus: 3.3%	Human A25: 21.2%, Human ACC: 13.9%, Human AON: 12.5%	NPSR1-AS1, AC009081.2, ERG, CCDC80, HMGA2, MYOCD, PDLIM1, CD200R1L, FSHR, GNAT3	1307	0.026316845	30629.0635	0.736956179	0.003887312	413	248	606	40	0.46365723	4
96	DLNP_96	Deep-layer near-projecting	NEUR	VGLUT1 VGLUT2	CCK CHGA CHGB GRP NAMPT NUCB NXPH UBL UCN proSAAS		L5/6 NP	Cerebral cortex: 85.1%, Amygdala: 7.0%, Basal forebrain: 5.7%	Human A38: 17.5%, Human MTG: 9.1%, Human Idg: 8.3%	HMGA2, AC129807.1, MYOCD, NPSR1-AS1, CD200R1L, ERG, COL8A1, TRIM22, FER1L6-AS2, CCDC80	685	0.043474492	30852.62628	0.742676633	0.003642022	223	211	236	15	0.344525547	4
97	DLCT6b_97	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	ADCYAP CCK CHGA CHGB GAL NAMPT NUCB NXPH PDYN SCG UBL VGF proSAAS		N/A	Cerebral cortex: 54.4%, Hippocampus: 42.5%, Amygdala: 2.1%	Human MEC: 52.6%, Human CA1: 22.6%, Human CA1U-CA2U-CA3U: 13.9%	LINC01194, GUCA1C, AC046195.2, AC023503.1, LINC02067, SLC15A5, ERG, AC092131.1, SCUBE1, IGFBP3	287	0.049268293	30179.5122	0.720820702	0.007219904	180	26	80	1	0.6271777	4
98	DLCT6b_98	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB IGF NAMPT NPY NUCB NXPH SCG UBL UCN VGF proSAAS		L6b	Cerebral cortex: 75.6%, Basal forebrain: 10.3%, Amygdala: 7.8%	Human MTG: 8.1%, Human FI: 8.1%, Human M1C: 5.9%	ERG, CCN2, AC079949.3, SLC15A5, SCUBE1, AC002331.1, CDH24, DPP4, TNIP3, OLFML2B	4953	0.041612111	28058.69958	0.726186145	0.007155651	1567	2052	1148	186	0.414294367	4
99	DLCT6b_99	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG UBL UCN VGF proSAAS		L6b	Cerebral cortex: 80.0%, Basal forebrain: 11.2%, Hippocampus: 6.5%	Human FI: 11.3%, Human ACC: 10.3%, Human Cla: 8.0%	CCN2, VWA2, SLC15A5, AC092131.1, DPP4, CDH24, AL596257.1, AC002331.1, KRT17, ADTRP	4421	0.038247541	32273.87831	0.735025717	0.005623568	1520	1837	934	130	0.415516851	4
100	DLCT6b_100	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG UBL VGF proSAAS		N/A	Cerebral cortex: 63.0%, Amygdala: 27.0%, Basal forebrain: 5.9%	Human AON: 9.6%, Human CMN: 9.2%, Human CEN: 7.7%	SLC15A5, VWA2, SULF1, AC010511.1, AC023503.1, LINC01194, LGR6, CPZ, ADTRP, CCN2	4900	0.039117804	36341.2698	0.754029306	0.00556563	1459	1873	1345	223	0.382244898	4
101	DLCT6b_101	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH PTHLH SCG UBL VGF proSAAS		L6b	Cerebral cortex: 65.6%, Hippocampus: 29.5%, Amygdala: 4.8%	Human MEC: 48.6%, Human Sub: 17.6%, Human LEC: 16.3%	AC092131.1, CCN2, AL596257.1, AC064875.1, KRT17, AC005482.1, SNHG31, AP003100.2, OLFML2B, AC022133.2	2972	0.021066037	43522.03096	0.765220964	0.002604994	788	1012	1156	16	0.388963661	4
102	DLCT6b_102	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB EDN IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS		L6b	Amygdala: 66.6%, Cerebral cortex: 28.9%, Hippocampus: 4.2%	Human La: 18.0%, Human BL: 17.0%, Human LEC: 16.4%	AC092131.1, LINC01194, CCN2, VWA2, AC064875.1, SLC15A5, HCP5, SNHG31, AC023669.2, AP003100.2	1920	0.03478286	43869.85521	0.780995161	0.003597052	365	939	608	8	0.4890625	4
103	DLCT6b_103	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH PDYN SCG UBL VGF proSAAS		L6b	Cerebral cortex: 62.0%, Hippocampus: 25.8%, Amygdala: 12.1%	Human MEC: 45.4%, Human LEC: 14.7%, Human CA1U-CA2U-CA3U: 11.3%	CCN2, AC092131.1, VWA2, GUCA1C, SLC15A5, ITPRID1, C12orf42, F2R, LINC01735, LINC02218	1268	0.028890413	41470.72161	0.75642845	0.003289468	313	427	521	7	0.410883281	4
104	DLCT6b_104	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CCK CHGA CHGB NAMPT NUCB NXPH PDYN SCG UBL VGF proSAAS		N/A	Cerebral cortex: 47.1%, Hippocampus: 34.6%, Amygdala: 18.1%	Human MEC: 31.3%, Human CA1U-CA2U-CA3U: 12.2%, Human Sub: 10.7%	AC092131.1, LINC02550, SLC15A5, CCN2, VWA2, AL663058.2, LINC00607, ADTRP, LINC02218, TRHR	1973	0.03756127	41522.22859	0.75801114	0.003141663	520	852	600	1	0.431829701	4
105	DLCT6b_105	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB EDN IGF NAMPT NUCB NXPH SCG UBL UCN VGF proSAAS		L6b	Cerebral cortex: 80.5%, Basal forebrain: 8.4%, Hippocampus: 7.2%	Human ACC: 11.0%, Human FI: 10.2%, Human A25: 9.1%	AL138927.1, KRT17, CCN2, AC023503.1, MDFIC, AC104689.2, SNHG31, OLFML2B, AL358335.2, LINC01680	4269	0.036189195	38693.1375	0.743643418	0.004010529	1115	1659	1317	178	0.388615601	4
106	DLCT6b_106	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL UCN VGF proSAAS		L6b	Cerebral cortex: 99.0%, Hippocampus: 0.6%, Basal forebrain: 0.4%	Human M1C: 20.6%, Human MTG: 8.8%, Human A23: 6.8%	AC023503.1, MDFIC, AC022133.2, AL138927.1, AC104689.2, DPP4, NPFFR2, KRT17, OLFML2B, CCN2	9905	0.029031783	29076.03584	0.721069398	0.004149157	2566	3359	2984	996	0.339121656	4
107	DLCT6b_107	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG UBL UCN VGF proSAAS		N/A	Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%	Human V1C: 68.8%, Human M1C: 9.8%, Human Pro: 9.2%	AC023503.1, LINC02699, ITGA11, VWA2, AL121904.2, SYT6, DPP4, CELSR1, AACSP1, AC016598.1	998	0.035430862	30375.81463	0.680770145	0.007776703	402	171	332	93	0.402805611	4
108	DLCT6b_108	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB NXPH UBL proSAAS		N/A	Cerebral cortex: 89.4%, Hippocampus: 6.0%, Basal forebrain: 2.1%	Human M1C: 19.4%, Human A29-A30: 16.6%, Human A44-A45: 5.6%	LINC02699, AC105021.1, LINC02726, SH2D1B, IL4R, SEMA3E, LINC02718, AC046195.1, VWA2, TMC3	9206	0.018223265	19876.55681	0.703213725	0.015815355	2762	2538	3266	640	0.354768629	4
109	DLCT6b_109	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB NXPH UBL proSAAS		L6 CT	Cerebral cortex: 94.0%, Hippocampus: 3.3%, Basal forebrain: 1.8%	Human M1C: 16.5%, Human MTG: 9.8%, Human TH-TL: 5.7%	AC105021.1, AC073968.2, VWA2, IL4R, C5AR2, SEMA3E, SH2D1B, ABCC9, SGCG, ADAMTSL1	10646	0.016662874	24803.22393	0.74081847	0.002943878	3034	3672	2924	1016	0.344918279	4
110	DLCT6b_110	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NPY NUCB SCG UBL proSAAS		L6 CT	Cerebral cortex: 84.7%, Basal forebrain: 6.3%, Amygdala: 5.0%	Human FI: 9.6%, Human ACC: 9.2%, Human A38: 7.1%	AC105021.1, TRIM22, SULF1, C5AR2, AC073968.2, LGR6, CAV1, AC079380.1, S100Z, ABCC9	8324	0.020879009	29783.49652	0.766942333	0.003482217	2651	2807	2547	319	0.337217684	4
111	DLCT6b_111	Deep-layer corticothalamic and 6b	NEUR	VGLUT1 VGLUT2	CBLN CHGA CHGB NAMPT NUCB NXPH SCG UBL VGF proSAAS		N/A	Hippocampus: 92.5%, Amygdala: 6.3%, Cerebral cortex: 1.2%	Human CA1: 33.5%, Human CA1U-CA2U-CA3U: 27.2%, Human CA2U-CA3U: 9.3%	CLPSL1, VWA2, CPZ, SULF1, AL353072.2, AC092546.1, ADTRP, MC4R, GABRQ, AC091576.1	1546	0.040744306	38421.03169	0.7373	0.004864747	352	465	718	11	0.464424321	4
112	DLCT6b_112	Deep-layer corticothalamic and 6b	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB UBL proSAAS		N/A	Cerebral cortex: 65.2%, Hippocampus: 33.8%, Amygdala: 0.6%	Human MEC: 57.0%, Human Sub: 17.6%, Human CA1U-CA2U-CA3U: 9.7%	AC092131.1, LINC01720, AC004917.1, RXFP2, CCN4, AL137191.1, CPZ, AC073968.2, AL596257.1, ADAMTSL1	6334	0.019111183	34241.51405	0.756920109	0.002490715	2355	1522	2420	37	0.382065046	4
113	L5ET_113	Miscellaneous	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB UBL UCN VGF proSAAS	L5-ET	N/A	Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%	Human M1C: 73.3%, Human S1C: 14.1%, Human A43: 8.9%	AC005100.1, LINC02424, AC105213.1, LINC00922, OR51E2, ERG, NAALADL2-AS2, AC128707.1, LINC02008, LINC00943	630	0.058383414	34997.15873	0.707690436	0.001962773	179	87	363	1	0.576190476	4
114	L5ET_114	Miscellaneous	NEUR	VGLUT1	CBLN CCK CHGA CHGB NAMPT NUCB PYY SCG UBL UCN VGF proSAAS	L5-ET	N/A	Cerebral cortex: 98.4%, Hippocampus: 1.2%, Basal forebrain: 0.3%	Human M1C: 23.2%, Human MTG: 16.1%, Human A23: 9.7%	CSN1S1, ERG, AP003062.2, ABCB11, MMP26, MIR1-1HG-AS1, LINC02433, AC016074.2, AL021396.1, ASGR2	915	0.154619574	44164.40219	0.704343341	0.004051415	235	203	476	1	0.520218579	4
115	L5ET_115	Hippocampal CA1-3	NEUR	VGLUT1	ADCYAP CBLN CCK CHGA CHGB GNRH NAMPT NUCB PYY SCG UBL UCN VGF proSAAS	L5-ET	N/A	Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%	Human M1C: 100.0%	CSN1S1, XIST, C22orf34, AC110614.1, LINC02424, AL139379.1, LINC02008, MMP26, C14orf39, LINC01965	140	0.0275	44747.37857	0.744755471	0.001450547	0	0	0	140	1	1
