accession_id,PCL_id,label,Class auto-annotation,cl_parent_1,cl_parent_2,cl_parent_3,cl_parent_4,definition,definition_ref,brain_region,brain_region_curie,brain_region_evidence,markers,marker_fbeta_score
CS202210140_73,PCL:0051073,Epen_72 ependymal cell (Hsap),EPEN,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000065"";""ependymal cell"")",,,"A ependymal cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of OR2B4P (Hsap), MGC4859 (Hsap), RP11-624A4.2 (Hsap). The soma of these cells can be found in the hippocampal formation, amygdala. The reference data for this cell type is CS202210140_73.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 53.2%.,"RP11-624A4.2 (Hsap), MGC4859 (Hsap), OR2B4P (Hsap)",0.22300469483568075
CS202210140_74,PCL:0051074,Epen_73 ependymal cell (Hsap),EPEN,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000065"";""ependymal cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A ependymal cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of AC018717.1 (Hsap), AC007682.1 (Hsap), RP11-624A4.2 (Hsap). The soma of these cells can be found in the hippocampal formation. The reference data for this cell type is CS202210140_74.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 85.9%.,"AC018717.1 (Hsap), RP11-624A4.2 (Hsap), AC007682.1 (Hsap)",0.4033430232558139
CS202210140_75,PCL:0051075,Epen_74 ependymal cell (Hsap),CHRP EPEN,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000065"";""ependymal cell"")",,,"A ependymal cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TTR (Hsap), DTHD1 (Hsap). The soma of these cells can be found in the basal forebrain, thalamus. The reference data for this cell type is CS202210140_75.",DOI:10.1101/2022.10.12.511898,"basal forebrain, thalamus","HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 68.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 13.3%.,"TTR (Hsap), DTHD1 (Hsap)",0.696064139941691
CS202210140_76,PCL:0051076,COP_75 differentiation-committed oligodendrocyte precursor (Hsap),CHRP EPEN NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023059"";""differentiation-committed oligodendrocyte precursor"")",,,,"A differentiation-committed oligodendrocyte precursor of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FOLR1 (Hsap), C1QTNF5 (Hsap). The soma of these cells can be found in the myelencephalon, basal forebrain, thalamus. The reference data for this cell type is CS202210140_76.",DOI:10.1101/2022.10.12.511898,"basal forebrain, thalamus","HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 32.9%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 15.7%.,"FOLR1 (Hsap), C1QTNF5 (Hsap)",0.4710144927536232
CS202210140_77,PCL:0051077,Chrp_76 choroid plexus cell (Hsap),CHRP EPEN OLIGO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PLP1 (Hsap), ST18 (Hsap), OTX2-AS1 (Hsap), RP11-690J15.1 (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon. The reference data for this cell type is CS202210140_77.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 55.4%.,"ST18 (Hsap), OTX2-AS1 (Hsap), PLP1 (Hsap), RP11-690J15.1 (Hsap)",0.45945945945945954
CS202210140_78,PCL:0051078,Chrp_77 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FOLR1 (Hsap), SERPINF1 (Hsap), RP11-690J15.1 (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon. The reference data for this cell type is CS202210140_78.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 49.7%.,"SERPINF1 (Hsap), RP11-690J15.1 (Hsap), FOLR1 (Hsap)",0.3153846153846154
CS202210140_79,PCL:0051079,Chrp_78 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of POU2AF1 (Hsap), CRYBG1 (Hsap), RP11-729M20.1 (Hsap). The soma of these cells can be found in the basal forebrain. The reference data for this cell type is CS202210140_79.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 92.5%.,"RP11-729M20.1 (Hsap), CRYBG1 (Hsap), POU2AF1 (Hsap)",0.32568565400843885
CS202210140_80,PCL:0051080,Chrp_79 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of POU2AF1 (Hsap), TRPV4 (Hsap), ABCA4 (Hsap). The soma of these cells can be found in the basal forebrain. The reference data for this cell type is CS202210140_80.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 94.0%.,"POU2AF1 (Hsap), ABCA4 (Hsap), TRPV4 (Hsap)",0.2393000210837023
CS202210140_81,PCL:0051081,Chrp_80 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HS3ST3A1 (Hsap), RP11-690J15.1 (Hsap). The soma of these cells can be found in the basal forebrain. The reference data for this cell type is CS202210140_81.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 94.8%.,"HS3ST3A1 (Hsap), RP11-690J15.1 (Hsap)",0.4718959731543625
CS202210140_82,PCL:0051082,Chrp_81 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HPD (Hsap), C1QTNF5 (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon. The reference data for this cell type is CS202210140_82.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 73.7%.,"HPD (Hsap), C1QTNF5 (Hsap)",0.3113266583229036
CS202210140_83,PCL:0051083,Chrp_82 choroid plexus cell (Hsap),CHRP,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023073"";""choroid plexus cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A choroid plexus cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TTR (Hsap), GPNMB (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon. The reference data for this cell type is CS202210140_83.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 76.6%.,"GPNMB (Hsap), TTR (Hsap)",0.43175487465181056
CS202210140_84,PCL:0051084,DLNP_83 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of RP11-34C15.2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_84.,DOI:10.1101/2022.10.12.511898,,,,RP11-34C15.2 (Hsap),0.7401315789473684
CS202210140_85,PCL:0051085,DLCT6b_84 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of POSTN (Hsap), SLC9C1 (Hsap), NPSR1-AS1 (Hsap). The soma of these cells can be found in the hippocampal formation. The reference data for this cell type is CS202210140_85.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 98.5%.,"SLC9C1 (Hsap), POSTN (Hsap), NPSR1-AS1 (Hsap)",0.5373303167420815
CS202210140_86,PCL:0051086,DLNP_85 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TACR3 (Hsap), SGO1-AS1 (Hsap), FER1L6-AS2 (Hsap). The soma of these cells can be found in the cerebral cortex, basal forebrain, hypothalamus. The reference data for this cell type is CS202210140_86.",DOI:10.1101/2022.10.12.511898,"basal forebrain, hypothalamus","HBA:4300, HBA:4540",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 37.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hypothalamus: 10.9%.,"TACR3 (Hsap), FER1L6-AS2 (Hsap), SGO1-AS1 (Hsap)",0.5516194331983807
CS202210140_87,PCL:0051087,DLNP_86 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ADRA1A (Hsap), PLPP3 (Hsap), PTPRT (Hsap), IFNG-AS1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_87.",DOI:10.1101/2022.10.12.511898,,,,"IFNG-AS1 (Hsap), PLPP3 (Hsap), PTPRT (Hsap), ADRA1A (Hsap)",0.44719827586206895
CS202210140_88,PCL:0051088,DLNP_87 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of COL9A1 (Hsap), SLC9C1 (Hsap), NPSR1 (Hsap), RP11-421N8.3 (Hsap). The soma of these cells can be found in the cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_88.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 12.2%.,"RP11-421N8.3 (Hsap), COL9A1 (Hsap), SLC9C1 (Hsap), NPSR1 (Hsap)",0.32945736434108525
CS202210140_89,PCL:0051089,DLNP_88 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CD36 (Hsap), NPSR1 (Hsap), IFNG-AS1 (Hsap), RP11-421N8.3 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_89.",DOI:10.1101/2022.10.12.511898,,,,"RP11-421N8.3 (Hsap), NPSR1 (Hsap), IFNG-AS1 (Hsap), CD36 (Hsap)",0.41005291005291006
CS202210140_90,PCL:0051090,DLNP_89 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NPSR1-AS1 (Hsap), AE000661.37 (Hsap), RP11-66G15.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_90.",DOI:10.1101/2022.10.12.511898,,,,"RP11-66G15.1 (Hsap), AE000661.37 (Hsap), NPSR1-AS1 (Hsap)",0.5046583850931677
CS202210140_91,PCL:0051091,DLNP_90 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CTB-57H20.1 (Hsap), AE000661.37 (Hsap), IFNG-AS1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_91.",DOI:10.1101/2022.10.12.511898,,,,"IFNG-AS1 (Hsap), AE000661.37 (Hsap), CTB-57H20.1 (Hsap)",0.4537037037037037
CS202210140_92,PCL:0051092,DLNP_91 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TRIM22 (Hsap), CD200R1L (Hsap), CTC-340A15.2 (Hsap), CTC-535M15.2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_92.",DOI:10.1101/2022.10.12.511898,,,,"CD200R1L (Hsap), CTC-535M15.2 (Hsap), CTC-340A15.2 (Hsap), TRIM22 (Hsap)",0.2933282208588957
CS202210140_93,PCL:0051093,DLNP_92 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FSHR (Hsap), CTB-57H20.1 (Hsap), RP11-286O1.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_93.",DOI:10.1101/2022.10.12.511898,,,,"RP11-286O1.1 (Hsap), CTB-57H20.1 (Hsap), FSHR (Hsap)",0.3708791208791209
CS202210140_94,PCL:0051094,DLNP_93 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NXPH2 (Hsap), ROR1 (Hsap), CTB-57H20.1 (Hsap), IFNG-AS1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_94.",DOI:10.1101/2022.10.12.511898,,,,"NXPH2 (Hsap), ROR1 (Hsap), CTB-57H20.1 (Hsap), IFNG-AS1 (Hsap)",0.2205882352941177
CS202210140_95,PCL:0051095,DLNP_94 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ROBO3 (Hsap), CD200R1L (Hsap), RP11-511B7.2 (Hsap), RP11-421N8.3 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_95.",DOI:10.1101/2022.10.12.511898,,,,"RP11-421N8.3 (Hsap), CD200R1L (Hsap), ROBO3 (Hsap), RP11-511B7.2 (Hsap)",0.3309692671394799
CS202210140_96,PCL:0051096,DLNP_95 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MYOCD (Hsap), FSHR (Hsap), NPSR1-AS1 (Hsap), RP11-354I13.2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_96.",DOI:10.1101/2022.10.12.511898,,,,"RP11-354I13.2 (Hsap), FSHR (Hsap), NPSR1-AS1 (Hsap), MYOCD (Hsap)",0.42151162790697666
CS202210140_97,PCL:0051097,DLNP_96 near-projecting glutamatergic cortical neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023012"";""near-projecting glutamatergic cortical neuron"")",,,,"A near-projecting glutamatergic cortical neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HMGA2 (Hsap), LINC02008 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_97.",DOI:10.1101/2022.10.12.511898,,,,"HMGA2 (Hsap), LINC02008 (Hsap)",0.5230769230769231
CS202210140_98,PCL:0051098,DLCT6b_97 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of GUCA1C (Hsap), RP11-238K6.2 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_98.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 42.5%.,"GUCA1C (Hsap), RP11-238K6.2 (Hsap)",0.7081807081807081
CS202210140_99,PCL:0051099,DLCT6b_98 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CDH24 (Hsap), ERG (Hsap), IL15 (Hsap). The soma of these cells can be found in the cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_99.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 10.3%.,"IL15 (Hsap), CDH24 (Hsap), ERG (Hsap)",0.6092057761732853
CS202210140_100,PCL:0051100,DLCT6b_99 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FAM160A1 (Hsap), DPP4 (Hsap), RP11-467L24.1 (Hsap). The soma of these cells can be found in the cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_100.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 11.2%.,"DPP4 (Hsap), FAM160A1 (Hsap), RP11-467L24.1 (Hsap)",0.38696060037523444
CS202210140_101,PCL:0051101,DLCT6b_100 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SEMA5A (Hsap), SULF1 (Hsap), RXFP1 (Hsap), LINC02232 (Hsap). The soma of these cells can be found in the cerebral cortex, amygdala. The reference data for this cell type is CS202210140_101.",DOI:10.1101/2022.10.12.511898,,,,"LINC02232 (Hsap), SULF1 (Hsap), SEMA5A (Hsap), RXFP1 (Hsap)",0.4216507177033493
CS202210140_102,PCL:0051102,DLCT6b_101 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NFIA-AS2 (Hsap), RP11-467L24.1 (Hsap), RP11-120L14.1 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_102.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 29.5%.,"NFIA-AS2 (Hsap), RP11-467L24.1 (Hsap), RP11-120L14.1 (Hsap)",0.49857549857549854
CS202210140_103,PCL:0051103,DLCT6b_102 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ADAMTSL1 (Hsap), LINC01821 (Hsap), AC064875.2 (Hsap), RP11-467L24.1 (Hsap). The soma of these cells can be found in the amygdala, cerebral cortex. The reference data for this cell type is CS202210140_103.",DOI:10.1101/2022.10.12.511898,,,,"LINC01821 (Hsap), RP11-467L24.1 (Hsap), AC064875.2 (Hsap), ADAMTSL1 (Hsap)",0.510752688172043
CS202210140_104,PCL:0051104,DLCT6b_103 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PLA2G4A (Hsap), CCN2 (Hsap), RP11-467L24.1 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation, amygdala. The reference data for this cell type is CS202210140_104.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 25.8%.,"RP11-467L24.1 (Hsap), PLA2G4A (Hsap), CCN2 (Hsap)",0.5304276315789475
CS202210140_105,PCL:0051105,DLCT6b_104 glutamatergic neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A glutamatergic neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TRIM22 (Hsap), RP11-467L24.1 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation, amygdala. The reference data for this cell type is CS202210140_105.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 34.6%.,"TRIM22 (Hsap), RP11-467L24.1 (Hsap)",0.576036866359447
